,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Requirement implemented for E2EE,,,,,,,,,,,,,,,,,,
Requirement ID,Description,,,,,,,,,,,Implemented Status,,,,,,
1,ECDH Key Exchange: Use the ECDH protocol with the WebCrypto API (P-384 curve) to establish a shared secret.,,,,,,,,,,,✓,,,,,,
2,"Key Derivation: Derive AES-GCM and MAC keys using HKDF-SHA256, ensuring unique salts and relevant context-specific info.",,,,,,,,,,,✓,,,,,,
3,"Encryption and IV Management: Encrypt messages using AES-GCM mode with unique 96-bit IVs, and protect IVs with HMAC-SHA256.",,,,,,,,,,,✓,,,,,,
4,Local Storage Management: Store key materials in HTML5 local storage for access after browser reopens.,,,,,,,,,,,✓,,,,,,
5,"Message History: Show historical and new messages, with warnings if local storage is cleared.",,,,,,,,,,,✓,,,,,,
6,"Key and IV Refresh: Enable re-derivation of keys via a refresh button, using new salts and protecting change requests with MAC keys.",,,,,,,,,,,✓,,,,,,
7,ECDH Re-initiation: Re-initiate key exchange when local storage is cleared or no shared secret exists.,,,,,,,,,,,✓,,,,,,
8,Data Formatting: Use UTF-8 for messages and JSON for network communication with a custom schema.,,,,,,,,,,,✓,,,,,,
9,Logging: Use console.log to track all cryptographic operations and ensure IVs and keys are appropriately managed.,,,,,,,,,,,✓,,,,,,
10,"Web Security: Secure the app against CSRF, XSS, and SQL injection.",,,,,,,,,,,✓,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
